Company Registration Number, Company Name, Company Country, Year founded, E-mail address, Contact name, Last order, Number of Employees, Average Annual Order ,VAT Registered, Average turnover, Number of staff, Area of Sales
425,     MPS Group Inc., Albania, 2010, Perki@Inc.com, Moria, 15973324.000000, 32, 6402316.000000, No, Less than 10M EURO, Over 100, ICT
853,     Equitable Resources Inc, Tajikistan, 1984, McKes@ion.com, Regina, 14085948.000000, 39, 6561277.000000, Yes, Less than 1M EURO, Less than 10, Other Area
982,     EMC Corporation, Ivory Coast, 2015, Masco@ion.com, Catherina, 19129004.000000, 31, 6651105.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
716,     The MONY Group Inc., Mexico, 2000, Equit@Inc.com, Tommie, 14769781.000000, 104, 6867646.000000, Yes, Less than 1M EURO, Over 100, ICT
689,     Fisher Scientific Inter, Chad, 2021, Farml@Inc.com, Meagan, 17404582.000000, 122, 6875280.000000, No, Less than 1M EURO, Less than 10, Other Area
809,     Expeditors Internationa, Gabon, 2007, Domin@LLC.com, Jodee, 11465678.000000, 41, 7050925.000000, No, Over 10M EURO, Less than 100, Medical Devices
449,     Avnet Inc., Micronesia, 1970, J.C. @Coa.com, Maurise, 7496217.000000, 49, 7098970.000000, No, Over 10M EURO, Over 100, ICT
54,     Computer Associates Int, Benin, 2011, Alleg@ion.com, Modestine, 10666091.000000, 31, 7106169.000000, Yes, Less than 1M EURO, Less than 10, Other Area
86,     Chubb Corp, Cameroon, 2016, MGIC@ora.com, Gayel, 14641048.000000, 36, 7152768.000000, No, Less than 1M EURO, Less than 100, Medical Devices
637,     Molex Incorporated, Turkmenistan, 1970, Hewle@any.com, Jeanne, 10897197.000000, 103, 7165711.000000, Yes, Less than 10M EURO, Over 100, ICT
498,     D.R. Horton Inc., Cape Verde, 1985, C. H.@wid.com, Shanie, 19417204.000000, 60, 7532418.000000, Yes, Less than 10M EURO, Less than 10, Other Area
487,     Kerr-McGee Corporation, Russian Federation, 1972, Genui@nca.com, Clerissa, 9975029.000000, 65, 7745273.000000, No, Over 10M EURO, Less than 100, Medical Devices
337,     Allied Waste Industries, Luxembourg, 1982, BJ's@ In.com, Dix, 3623849.000000, 45, 7891653.000000, No, Over 10M EURO, Over 100, ICT
559,     Gap Inc., Libya, 2015, BJSe@any.com, Maitilde, 8333117.000000, 61, 7913344.000000, No, Less than 10M EURO, Less than 10, Other Area
426,     Capital One Financial C, Denmark, 2004, Brigh@nca.com, Milicent, 3263520.000000, 98, 7955089.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
294,     Arrow Electronics Inc., Myanmar {Burma}, 2011, Gente@nca.com, Shirl, 10376402.000000, 25, 8117500.000000, No, Over 10M EURO, Over 100, ICT
123,     Anheuser-Busch Companie, Austria, 1989, Nike@Inc.com, Peggie, 1218551.000000, 25, 8237068.000000, No, Less than 10M EURO, Less than 10, Other Area
805,     CNF Inc., Barbados, 1993, Ivax@rpa.com, Amaleta, 17870606.000000, 136, 8347858.000000, No, Less than 10M EURO, Less than 100, Medical Devices
720,     National Semiconductor, Bahamas, 2018, Dolla@Inc.com, Agnella, 14356540.000000, 68, 8505318.000000, Yes, Less than 10M EURO, Over 100, ICT
672,     New Jersey Resources Co, Eritrea, 2011, Fleet@lC.com, Fidelity, 1473628.000000, 38, 8760953.000000, Yes, Less than 1M EURO, Less than 10, Other Area
890,     Group 1 Automotive Inc., Sweden, 2006, BorgW@nca.com, Harriet, 11399233.000000, 110, 9021824.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
971,     Brown Shoe Company Inc, Kazakhstan, 1996, Bruns@ion.com, Laura, 713249.000000, 62, 9083964.000000, Yes, Less than 1M EURO, Over 100, ICT
863,     Kroger Co., Laos, 2016, Limit@nca.com, Marena, 18712420.000000, 150, 9195547.000000, No, Over 10M EURO, Less than 10, Other Area
854,     Family Dollar Stores In, Benin, 1993, ITTI@nca.com, Florie, 2466812.000000, 32, 9245430.000000, No, Less than 10M EURO, Less than 100, Medical Devices
668,     Gentek Inc., Seychelles, 2021, Fleet@sI.com, Rozalie, 14415456.000000, 42, 9268486.000000, No, Over 10M EURO, Over 100, ICT
855,     Barnes & Noble Inc., Korea North, 1999, TheN@oup.com, Phyllida, 18813008.000000, 139, 9332670.000000, Yes, Over 10M EURO, Less than 10, Other Area
348,     Louisiana-Pacific Corpo, Bulgaria, 1988, Norfo@por.com, Druci, 1439803.000000, 24, 9366783.000000, No, Less than 1M EURO, Less than 100, Medical Devices
781,     Cooper Industries Ltd., Hungary, 1973, Kroge@Coa.com, Sunny, 19257328.000000, 86, 9373826.000000, Yes, Less than 10M EURO, Over 100, ICT
68,     Louisiana-Pacific Corpo, Bangladesh, 2018, Centu@nca.com, Aveline, 13462448.000000, 24, 9562619.000000, Yes, Less than 1M EURO, Less than 10, Other Area
100,     Pantry Inc, Gabon, 1976, Alcoa@nca.com, Cecilia, 16960586.000000, 28, 9636948.000000, No, Over 10M EURO, Less than 100, Medical Devices
549,     Lyondell Chemical Compa, Seychelles, 1978, Johns@son.com, Daniella, 6526896.000000, 125, 9887120.000000, No, Less than 10M EURO, Over 100, ICT
21,     American Greetings Corp, Zimbabwe, 1971, MPSG@nca.com, Almeta, 5867060.000000, 111, 9901985.000000, No, Over 10M EURO, Less than 10, Other Area
325,     Expeditors Internationa, Azerbaijan, 2015, Arvin@nca.com, Ainsley, 17151374.000000, 10, 10015749.000000, No, Less than 10M EURO, Less than 100, Medical Devices
442,     C. H. Robinson Worldwid, Guinea-Bissau, 2000, Danah@ion.com, Georgeanna, 17939836.000000, 10, 10556816.000000, Yes, Less than 10M EURO, Over 100, ICT
171,     Flowers Foods Inc., Mexico, 2000, Miran@ion.com, Lorrie, 13683364.000000, 138, 10712803.000000, Yes, Less than 1M EURO, Less than 10, Other Area
414,     Illinois Tool Works Inc, Albania, 1983, Idaco@nca.com, Terese, 15656170.000000, 126, 10842857.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
450,     ConAgra Foods Inc., Colombia, 2018, Pennz@euC.com, Libby, 8134277.000000, 87, 11003728.000000, Yes, Less than 10M EURO, Over 100, ICT
154,     Kelly Services Inc., Tuvalu, 1976, Mille@ In.com, Sibley, 19298940.000000, 145, 11185163.000000, No, Less than 10M EURO, Less than 10, Other Area
674,     Payless Shoesource Inc, New Zealand, 2013, Gener@rat.com, Darb, 18146152.000000, 21, 11473530.000000, No, Over 10M EURO, Less than 100, Medical Devices
185,     Exide Technologies, Papua New Guinea, 1973, Compu@Int.com, Katlin, 7802722.000000, 110, 11475557.000000, No, Less than 10M EURO, Over 100, ICT
658,     Hawaiian Electric Indus, Monaco, 1974, Citig@Inc.com, Sherrie, 19075908.000000, 5, 11545995.000000, Yes, Over 10M EURO, Less than 10, Other Area
119,     E.W. Scripps Company, Algeria, 1985, Boise@ati.com, Laure, 9644233.000000, 148, 11607457.000000, No, Over 10M EURO, Less than 100, Medical Devices
400,     General Dynamics Corpor, Sri Lanka, 1998, Conve@rpa.com, Hannis, 13170248.000000, 39, 11614757.000000, Yes, Over 10M EURO, Over 100, ICT
917,     Anheuser-Busch Companie, Estonia, 2013, LandA@luG.com, Gwen, 4030531.000000, 50, 11669564.000000, Yes, Over 10M EURO, Less than 10, Other Area
911,     Perini Corp, Bulgaria, 1976, North@tio.com, Kariotta, 10572578.000000, 29, 11681086.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
987,     Danaher Corporation, India, 1974, Ford@ Co.com, Andree, 11242865.000000, 105, 11838824.000000, Yes, Less than 10M EURO, Over 100, ICT
909,     Novellus Systems Inc, Vatican City, 1975, Eaton@ion.com, Cordi, 9268537.000000, 19, 11954633.000000, No, Over 10M EURO, Less than 10, Other Area
919,     Johnson Controls Inc., St Lucia, 1977, Brist@ Co.com, Trixi, 3961289.000000, 135, 12087081.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
792,     Gemstar-TV Guide Intern, Ghana, 1977, Burli@San.com, Farand, 5170744.000000, 136, 12134746.000000, No, Over 10M EURO, Over 100, ICT
158,     Hershey Foods Corp., Palau, 2011, Lowe'@nca.com, Adrian, 15830437.000000, 16, 12330824.000000, Yes, Less than 1M EURO, Less than 10, Other Area
355,     J.C. Penny Co., Chad, 1985, OGEE@orp.com, Dorice, 6576551.000000, 110, 12368267.000000, No, Over 10M EURO, Less than 100, Medical Devices
903,     Flowers Foods Inc., Djibouti, 1992, Marat@tio.com, Sophey, 13199524.000000, 44, 12494384.000000, No, Less than 10M EURO, Over 100, ICT
333,     Bank One Corporation, Djibouti, 2011, Agile@aor.com, Edyth, 8129195.000000, 35, 12900105.000000, Yes, Less than 10M EURO, Less than 10, Other Area
532,     Molex Incorporated, Colombia, 1985, DQEI@nca.com, Malissia, 13928736.000000, 127, 12910701.000000, No, Less than 1M EURO, Less than 100, Medical Devices
329,     Becton Dickinson and C, Andorra, 1974, Comme@Coa.com, Julieta, 12603374.000000, 55, 12953080.000000, No, Over 10M EURO, Over 100, ICT
526,     Compuware Corp., Djibouti, 2020, Pathm@nca.com, Leshia, 2003216.000000, 150, 13080609.000000, Yes, Less than 1M EURO, Less than 10, Other Area
988,     Kennametal Inc., Namibia, 1972, Lexma@lwI.com, Gussi, 17891540.000000, 3, 13290882.000000, No, Less than 1M EURO, Less than 100, Medical Devices
554,     Federal Mogul Corp., Chad, 2021, DPLI@nca.com, Teodora, 7554093.000000, 93, 13406180.000000, Yes, Less than 10M EURO, Over 100, ICT
735,     The May Department Stor, Cyprus, 1988, DiGi@ion.com, Leena, 14017383.000000, 69, 13457544.000000, Yes, Less than 1M EURO, Less than 10, Other Area
243,     Ingram Micro Inc., Oman, 2016, LandA@luG.com, Tiffani, 12828488.000000, 65, 13745422.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
485,     Forest Laboratories Inc, Mozambique, 1972, Legge@nca.com, Druci, 4331370.000000, 141, 13756796.000000, No, Less than 1M EURO, Over 100, ICT
634,     Calpine Corp., Luxembourg, 1981, Pepsi@ In.com, Georgena, 4260607.000000, 12, 13819551.000000, No, Over 10M EURO, Less than 10, Other Area
655,     Beckman Coulter Inc., Jordan, 1987, Calpi@rpa.com, Frayda, 12765176.000000, 72, 13881763.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
698,     FirstEnergy Corp., Cape Verde, 1975, Gemst@ern.com, Brietta, 9449663.000000, 143, 14004030.000000, No, Less than 1M EURO, Over 100, ICT
274,     AOL Time Warner Inc., Israel, 2022, Coca-@Coa.com, Hildagarde, 5847119.000000, 112, 14023799.000000, Yes, Less than 10M EURO, Less than 10, Other Area
899,     Autoliv Inc., Kyrgyzstan, 1970, GATX@ion.com, Bibby, 10076363.000000, 22, 14276227.000000, No, Less than 1M EURO, Less than 100, Medical Devices
262,     Flowers Foods Inc., Benin, 1976, Dyneg@nca.com, Marge, 19105028.000000, 16, 14319531.000000, No, Less than 10M EURO, Over 100, ICT
865,     Forest Laboratories Inc, India, 2006, TheC@Coa.com, Hanny, 2013432.000000, 138, 14492596.000000, No, Over 10M EURO, Less than 10, Other Area
415,     Golden West Financial C, Afghanistan, 2022, Caden@ms.com, Patrice, 6474819.000000, 34, 14504267.000000, No, Less than 1M EURO, Less than 100, Medical Devices
589,     Crown Cork & Seal Co. I, Kazakhstan, 2006, Best@nca.com, Andie, 1408750.000000, 46, 14579388.000000, No, Over 10M EURO, Over 100, ICT
715,     NorthWestern Corporatio, Fiji, 1971, Alber@any.com, Juliane, 6544171.000000, 20, 14765890.000000, No, Over 10M EURO, Less than 10, Other Area
452,     Payless Shoesource Inc, Dominica, 2005, CH2M@tda.com, Iseabal, 10351880.000000, 95, 14786769.000000, No, Over 10M EURO, Less than 100, Medical Devices
455,     The Neiman Marcus Group, Syria, 1971, Flemi@nca.com, Jocelyn, 9387642.000000, 45, 15059543.000000, Yes, Less than 10M EURO, Over 100, ICT
311,     Federal Express Corp., Turkey, 2012, Brown@tio.com, Deborah, 17304792.000000, 103, 15068843.000000, No, Less than 10M EURO, Less than 10, Other Area
275,     Owens & Minor Inc., Burkina, 2007, First@ona.com, Rorie, 17500600.000000, 25, 15122960.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
148,     MasTec Inc., Malawi, 1970, Nacco@Inc.com, Eileen, 15570223.000000, 109, 15220751.000000, No, Less than 10M EURO, Over 100, ICT
111,     Energy East Corporation, Trinidad & Tobago, 1991, Ameri@rsi.com, Malissia, 18291240.000000, 42, 15360801.000000, Yes, Less than 10M EURO, Less than 10, Other Area
314,     Atmel Corporation, Tonga, 1982, Dean@any.com, Rochell, 812837.000000, 27, 15474390.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
214,     American Electric Power, Cambodia, 2018, Boise@ati.com, Raina, 14854679.000000, 10, 15530149.000000, No, Less than 1M EURO, Over 100, ICT
746,     KeySpan Corp., Seychelles, 2000, IMCG@nca.com, Regina, 6556344.000000, 52, 15626670.000000, No, Less than 1M EURO, Less than 10, Other Area
653,     Benchmark Electronics, Turkmenistan, 1987, Johns@nca.com, Christina, 16584692.000000, 65, 15846083.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
644,     Foster Wheeler Ltd., Colombia, 2021, NiSou@Inc.com, Kessia, 15066956.000000, 35, 15879624.000000, No, Less than 10M EURO, Over 100, ICT
896,     The MONY Group Inc., Gabon, 2018, Healt@orp.com, Latrina, 7381040.000000, 13, 15926410.000000, Yes, Less than 10M EURO, Less than 10, Other Area
908,     Earthlink Inc., Angola, 1979, PepB@& J.com, Nelli, 12573833.000000, 79, 16039103.000000, No, Over 10M EURO, Less than 100, Medical Devices
614,     KeyCorp, Libya, 1994, Bank@ion.com, Maegan, 15416070.000000, 58, 16144928.000000, Yes, Over 10M EURO, Over 100, ICT
956,     Hillenbrand Industries, Iran, 2003, Capit@lrC.com, Bernetta, 2890893.000000, 17, 16150125.000000, Yes, Less than 10M EURO, Less than 10, Other Area
222,     Hughes Supply Inc., Papua New Guinea, 1996, Labor@on.com, Madelle, 9458496.000000, 39, 16182186.000000, No, Less than 1M EURO, Less than 100, Medical Devices
834,     IMC Global Inc., Botswana, 2011, TheC@Coa.com, Fredra, 2712046.000000, 54, 16386151.000000, No, Over 10M EURO, Over 100, ICT
861,     Insight Enterprises Inc, Bahamas, 1972, Delux@ion.com, Roda, 6377813.000000, 63, 16598048.000000, Yes, Less than 1M EURO, Less than 10, Other Area
827,     Allied Waste Industries, Cyprus, 2007, Beckm@nca.com, Faith, 13940036.000000, 15, 16659296.000000, No, Less than 1M EURO, Less than 100, Medical Devices
662,     Pep Boys Manny Moe & J, Burundi, 2012, Genui@any.com, Maryjane, 8320882.000000, 30, 16725155.000000, No, Less than 1M EURO, Over 100, ICT
424,     Equity Residential Prop, Tajikistan, 1971, Nords@Inc.com, Fanya, 15055068.000000, 68, 17061288.000000, No, Less than 1M EURO, Less than 10, Other Area
189,     Expeditors Internationa, Lithuania, 1995, Carpe@ Co.com, Francine, 16303471.000000, 32, 17177876.000000, No, Over 10M EURO, Less than 100, Medical Devices
412,     DQE Inc., Papua New Guinea, 1987, Bosto@rpo.com, Sisile, 8354836.000000, 74, 17190830.000000, No, Over 10M EURO, Over 100, ICT
989,     ALLTEL Corporation, Grenada, 1982, Harra@nt.com, Peg, 5136554.000000, 36, 17293522.000000, Yes, Over 10M EURO, Less than 10, Other Area
570,     General Motors Corporat, Togo, 1986, J.B. @Ser.com, Ariella, 14760901.000000, 107, 17330212.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
517,     Georgia Gulf Corporatio, Albania, 1996, FMCC@orp.com, Jessamyn, 8381264.000000, 89, 17331252.000000, Yes, Over 10M EURO, Over 100, ICT
543,     Carpenter Technology Co, Luxembourg, 1983, Golde@luC.com, Joelle, 9934325.000000, 60, 17377674.000000, No, Less than 10M EURO, Less than 10, Other Area
160,     Legg Mason Inc., Kiribati, 1986, AmSou@rpa.com, Lyssa, 15266343.000000, 41, 17408522.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
103,     Hub Group Inc., Tunisia, 2005, Conso@Inc.com, Cookie, 2311444.000000, 23, 17623156.000000, No, Less than 10M EURO, Over 100, ICT
416,     Cooper Tire & Rubber Co, Denmark, 1978, Ameri@fac.com, Fara, 12293936.000000, 145, 17676492.000000, Yes, Less than 10M EURO, Less than 10, Other Area
192,     Becton Dickinson and C, United Kingdom, 1975, Newel@Inc.com, Kaylyn, 15158196.000000, 80, 17851880.000000, No, Less than 1M EURO, Less than 100, Medical Devices
926,     Dreyer's Grand Ice Crea, Honduras, 2011, Milac@nca.com, Cindi, 5712675.000000, 46, 17854332.000000, No, Less than 10M EURO, Over 100, ICT
866,     Bemis Company Inc., Armenia, 1982, Bemis@nca.com, Carey, 17301402.000000, 131, 18144462.000000, Yes, Over 10M EURO, Less than 10, Other Area
291,     EOG Resources Inc., Montenegro, 2011, Cenda@orp.com, Giovanna, 19817928.000000, 16, 18273216.000000, No, Over 10M EURO, Less than 100, Medical Devices
118,     Burlington Resources In, Turkey, 2002, AnnTa@nca.com, Goldina, 3379552.000000, 10, 18346528.000000, Yes, Less than 1M EURO, Over 100, ICT
389,     DynCorp, Saudi Arabia, 2010, Potom@er.com, Tobye, 13124707.000000, 3, 18459094.000000, Yes, Less than 1M EURO, Less than 10, Other Area
627,     Kroger Co., Antigua & Deps, 1993, Ingra@nca.com, Pammie, 3349329.000000, 147, 18669576.000000, No, Less than 10M EURO, Less than 100, Medical Devices
629,     The Black & Decker Corp, Maldives, 1987, Apple@nca.com, Elsy, 7067360.000000, 84, 18701056.000000, Yes, Less than 1M EURO, Over 100, ICT
191,     Autoliv Inc., Ukraine, 2002, MDUR@Inc.com, Estele, 7742382.000000, 36, 19032694.000000, No, Less than 1M EURO, Less than 10, Other Area
194,     Dollar General Corporat, Poland, 1972, MDUR@Inc.com, Lorne, 12966945.000000, 99, 19095850.000000, No, Over 10M EURO, Less than 100, Medical Devices
801,     Agway Inc., Palau, 2007, Kroge@Coa.com, Juanita, 18710550.000000, 91, 19163564.000000, Yes, Over 10M EURO, Over 100, ICT
724,     Merck & Co. Inc., Guatemala, 2015, Insig@Inc.com, Mureil, 12958346.000000, 112, 19242800.000000, Yes, Less than 1M EURO, Less than 10, Other Area
677,     MPS Group Inc., Afghanistan, 2018, Limit@nca.com, Joli, 18391616.000000, 37, 19320274.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
386,     Broadwing Inc., Kyrgyzstan, 1986, Apart@ an.com, Daffi, 8554009.000000, 136, 19333560.000000, No, Less than 10M EURO, Over 100, ICT
530,     Cintas Corp., Malaysia, 1975, E.W. @any.com, Gianna, 17379320.000000, 89, 19864786.000000, No, Less than 10M EURO, Less than 10, Other Area
430,     Park Place Entertainmen, Dominica, 2020, Oglet@rpa.com, Dee, 8139048.000000, 61, 19944532.000000, No, Over 10M EURO, Less than 100, Medical Devices
236,     NiSource Inc, Yemen, 2002, Hercu@nca.com, Philly, 4840768.000000, 93, 19944814.000000, Yes, Over 10M EURO, Over 100, ICT
856,     Kemet Corp., Suriname, 2016, TheM@tor.com, Min, 18146704.000000, 122, 19945688.000000, No, Less than 1M EURO, Less than 10, Other Area
753,     Office Depot Inc., Equatorial Guinea, 1990, Gatew@nca.com, Kala, 11116970.000000, 77, 20156746.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
841,     National Semiconductor, Qatar, 1975, CSKA@rpa.com, Ferdinanda, 7224483.000000, 90, 20192708.000000, Yes, Less than 1M EURO, Over 100, ICT
217,     ALLTEL Corporation, Austria, 1975, Natio@tie.com, Stacie, 6653024.000000, 26, 20214072.000000, Yes, Less than 1M EURO, Less than 10, Other Area
946,     LSI Logic Corporation, China, 2005, Potom@er.com, Kala, 4522458.000000, 128, 20332280.000000, No, Less than 10M EURO, Less than 100, Medical Devices
994,     National Service Indust, Bulgaria, 2001, Johns@nca.com, Evangeline, 1811147.000000, 15, 20502114.000000, Yes, Over 10M EURO, Over 100, ICT
947,     Cinergy Corp., Bahrain, 2012, IDTC@ion.com, Alene, 4789982.000000, 76, 20511468.000000, Yes, Less than 1M EURO, Less than 10, Other Area
740,     JDS Uniphase Corp., Swaziland, 1982, Bank@ora.com, Betti, 18700422.000000, 149, 20737536.000000, No, Less than 10M EURO, Less than 100, Medical Devices
654,     Perini Corp, Maldives, 1986, Host@rpa.com, Franciska, 13074603.000000, 94, 20760096.000000, Yes, Over 10M EURO, Over 100, ICT
540,     National Service Indust, Guinea, 1997, Brown@tio.com, Germaine, 10775097.000000, 88, 20763916.000000, Yes, Less than 1M EURO, Less than 10, Other Area
315,     First Data Corp., Slovakia, 1992, Ciena@rpa.com, Shanta, 6185236.000000, 33, 20818416.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
124,     Dreyer's Grand Ice Crea, Suriname, 2015, Bankn@nca.com, Aeriell, 6000005.000000, 119, 20886608.000000, No, Over 10M EURO, Over 100, ICT
402,     HCA Inc., Nicaragua, 2013, Chevr@rpa.com, Kania, 1447890.000000, 143, 21108766.000000, Yes, Over 10M EURO, Less than 10, Other Area
535,     Outback Steakhouse Inc., Burundi, 1998, Ball@ion.com, Karylin, 15634123.000000, 84, 21268120.000000, No, Less than 1M EURO, Less than 100, Medical Devices
399,     Amkor Technology Inc., Uruguay, 2022, Farml@Inc.com, Gwenny, 16396900.000000, 40, 21456194.000000, Yes, Over 10M EURO, Over 100, ICT
441,     E*Trade Group Inc., Grenada, 2022, Duke@orp.com, Rhianon, 11462851.000000, 69, 21673516.000000, Yes, Less than 10M EURO, Less than 10, Other Area
